Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Description
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
